Date,State,Project_Type,Tower_Type,Substation_Type,Budget_Cr,GST_Rate,Material,Steel_Price_Index,Cement_Price_Index,Supplier_LeadTime_Days,Region_Cost_Factor,Quantity_Used,Quantity_Procured,Year,Month,CostPerUnitUsed
2020-01-01,1,0,1,0,8.636499344142013,5,1,100.0,110.0,42,1.0216968971838152,1776.91,1816.6,2020,1,0.004963065949592471
2020-01-01,1,1,0,0,5.933313264272309,18,2,100.0,110.0,12,1.2439761626945285,1956.37,1993.25,2020,1,0.00377082527399215
2020-01-01,1,0,0,0,6.953442280127677,18,0,100.0,110.0,16,1.1439986631130483,1026.75,1124.57,2020,1,0.007739945193383419
2020-01-01,2,0,1,0,11.23422152178822,12,3,100.0,110.0,13,0.9739417822102108,1928.23,1996.69,2020,1,0.005671422137679139
2020-01-01,2,0,0,0,19.946402202747617,18,1,100.0,110.0,33,1.0427013306774358,1039.38,1093.66,2020,1,0.01999090728294688
2020-01-01,2,1,0,1,5.312728134823878,5,2,100.0,110.0,33,1.057952607270228,1323.32,1389.23,2020,1,0.004244151399929638
2020-01-01,2,0,0,0,22.26206851751187,12,0,100.0,110.0,42,0.9254233401144096,1779.62,1806.95,2020,1,0.011570036170172009
2020-01-01,0,0,1,1,16.224868516954025,18,3,100.0,110.0,23,1.2395655297064336,1599.66,1626.31,2020,1,0.012564684403705567
2020-01-01,0,0,1,0,7.157828539866089,18,1,100.0,110.0,41,1.1545641645055122,1406.27,1475.88,2020,1,0.005872485257132037
2020-01-01,0,1,0,1,15.796821826033462,5,2,100.0,110.0,22,0.9307919639315172,1205.33,1235.12,2020,1,0.012188667123697447
2020-01-01,0,0,1,0,9.368808744336672,12,0,100.0,110.0,20,1.0297380084021095,2169.86,2207.32,2020,1,0.004444053719490668
2020-01-01,3,1,0,1,13.542155772525126,5,3,100.0,110.0,12,0.9027808522124764,939.94,923.56,2020,1,0.01299296334422422
2020-01-01,3,1,0,0,9.375284391461404,5,1,100.0,110.0,21,1.0007129183301458,1174.02,1232.66,2020,1,0.00798451788357169
2020-01-01,3,1,0,1,24.532299116653057,12,2,100.0,110.0,32,1.0114585856946443,1553.97,1599.16,2020,1,0.01595748121723755
2020-01-01,3,0,0,0,6.617066526654305,18,0,100.0,110.0,26,1.1912865394447438,1276.18,1333.72,2020,1,0.006172052712862445
2020-01-01,4,1,0,0,20.966902499691024,5,3,100.0,110.0,15,1.1783251227163527,1608.97,1648.56,2020,1,0.015345520699721255
2020-01-01,4,0,1,1,8.48732858009983,5,1,100.0,110.0,27,1.2350840423629312,1445.94,1517.37,2020,1,0.00724464324130381
2020-01-01,4,1,1,0,10.158832554303112,12,2,100.0,110.0,11,1.2985014799031698,2300.83,2352.4,2020,1,0.005730770346138112
2020-01-01,4,1,1,0,22.942205199051543,12,0,100.0,110.0,42,1.156812658461715,2365.77,2428.31,2020,1,0.011213524502714246
2020-02-01,1,0,1,1,12.445655331234862,5,3,100.0,110.0,44,1.2894655347021269,1362.99,1388.36,2020,2,0.011765660750012197
