Date,State,Project_Type,Tower_Type,Substation_Type,Budget_Cr,GST_Rate,Material,Steel_Price_Index,Cement_Price_Index,Supplier_LeadTime_Days,Region_Cost_Factor,Quantity_Used,Quantity_Procured
2020-01-01,Gujarat,Transmission,TypeA,400 kV,13.916655057071823,18,Steel,100.0,,20,1.083699556786347,1489.43,1517.3
2020-01-01,Gujarat,Substation,TypeB,220 kV,8.636499344142013,5,Cement,100.0,110.0,42,1.0216968971838152,1776.91,1816.6
2020-01-01,Gujarat,Transmission,TypeA,220 kV,5.933313264272309,18,Insulator,100.0,110.0,12,1.2439761626945283,1956.37,1993.25
2020-01-01,Gujarat,Substation,TypeA,220 kV,6.953442280127677,18,Cable,100.0,110.0,16,1.1439986631130483,1026.75,1124.57
2020-01-01,Maharashtra,Substation,TypeB,220 kV,11.23422152178822,12,Steel,100.0,110.0,13,0.9739417822102109,1928.23,1996.69
2020-01-01,Maharashtra,Substation,TypeA,220 kV,19.946402202747617,18,Cement,100.0,110.0,33,1.0427013306774358,1039.38,1093.66
2020-01-01,Maharashtra,Transmission,TypeA,400 kV,5.312728134823878,5,Insulator,100.0,110.0,33,1.0579526072702279,1323.32,1389.23
2020-01-01,Maharashtra,Substation,TypeA,220 kV,22.26206851751187,12,Cable,100.0,110.0,42,0.9254233401144095,1779.62,1806.95
2020-01-01,Assam,Substation,TypeB,400 kV,16.224868516954025,18,Steel,100.0,110.0,23,1.2395655297064336,1599.66,1626.31
2020-01-01,Assam,Substation,TypeB,220 kV,7.157828539866089,18,Cement,100.0,110.0,41,1.1545641645055122,1406.27,1475.88
2020-01-01,Assam,Transmission,TypeA,400 kV,15.796821826033462,5,Insulator,100.0,110.0,22,0.9307919639315172,1205.33,1235.12
2020-01-01,Assam,Substation,TypeB,220 kV,9.368808744336672,12,Cable,100.0,110.0,20,1.0297380084021097,2169.86,2207.32
2020-01-01,Tamil Nadu,Transmission,TypeA,400 kV,13.542155772525126,5,Steel,100.0,110.0,12,0.9027808522124763,939.94,923.56
2020-01-01,Tamil Nadu,Transmission,TypeA,220 kV,9.375284391461404,5,Cement,100.0,110.0,21,1.0007129183301458,1174.02,1232.66
2020-01-01,Tamil Nadu,Transmission,TypeA,400 kV,24.532299116653057,12,Insulator,100.0,110.0,32,1.0114585856946445,1553.97,1599.16
2020-01-01,Tamil Nadu,Substation,TypeA,220 kV,6.617066526654305,18,Cable,100.0,110.0,26,1.1912865394447438,1276.18,1333.72
2020-01-01,Uttar Pradesh,Transmission,TypeA,220 kV,20.966902499691024,5,Steel,100.0,110.0,15,1.1783251227163527,1608.97,1648.56
2020-01-01,Uttar Pradesh,Substation,TypeB,400 kV,8.48732858009983,5,Cement,100.0,110.0,27,1.2350840423629312,1445.94,1517.37
2020-01-01,Uttar Pradesh,Transmission,TypeB,220 kV,10.158832554303112,12,Insulator,100.0,110.0,11,1.2985014799031698,2300.83,2352.4
2020-01-01,Uttar Pradesh,Transmission,TypeB,220 kV,22.942205199051543,12,Cable,100.0,110.0,42,1.156812658461715,2365.77,2428.31
2020-02-01,Gujarat,Substation,TypeB,400 kV,12.445655331234862,5,Steel,100.0,110.0,44,1.2894655347021269,1362.99,1388.36
2020-02-01,Gujarat,Substation,TypeA,220 kV,9.744981749936002,5,Cement,100.0,110.0,29,1.046587513833144,1697.81,1720.46
2020-02-01,Gujarat,Substation,TypeB,400 kV,12.35431606118867,18,Insulator,100.0,110.0,31,0.9975958573516335,1981.47,2029.54
2020-02-01,Gujarat,Substation,TypeA,220 kV,18.378481193261994,5,Cable,100.0,110.0,14,0.9920741072966222,2177.04,2235.56
2020-02-01,Maharashtra,Substation,TypeA,220 kV,23.809171687058285,5,Steel,100.0,110.0,15,1.0480634801021778,1720.24,1782.07
2020-02-01,Maharashtra,Transmission,TypeB,400 kV,10.369497137803137,18,Cement,100.0,110.0,27,1.1227205049833402,2576.86,2625.04
2020-02-01,Maharashtra,Substation,TypeB,220 kV,18.42287033648101,18,Insulator,100.0,110.0,11,1.0016654596278955,2260.28,2284.65
2020-02-01,Maharashtra,Transmission,TypeA,220 kV,21.187223109570272,18,Cable,100.0,110.0,34,1.1446054843462723,2441.86,2462.28
2020-02-01,Assam,Substation,TypeA,220 kV,19.03933754515407,12,Steel,100.0,110.0,21,1.254646859580264,1321.69,1373.4
2020-02-01,Assam,Substation,TypeA,220 kV,10.730825042565687,12,Cement,100.0,110.0,31,1.0001005442063455,1556.02,1595.79
2020-02-01,Assam,Transmission,TypeA,220 kV,20.399871061972217,5,Insulator,100.0,110.0,13,1.2368092300047926,1228.45,1269.08
2020-02-01,Assam,Substation,TypeB,220 kV,11.459129458824918,5,Cable,100.0,110.0,28,1.0755885682822544,2068.75,2086.47
2020-02-01,Tamil Nadu,Transmission,TypeA,400 kV,18.76999801530733,5,Steel,100.0,110.0,10,1.0769408918924417,1129.73,1171.75
2020-02-01,Tamil Nadu,Transmission,TypeA,220 kV,16.087081050228015,12,Cement,100.0,110.0,38,1.067840024971116,1277.15,1322.03
2020-02-01,Tamil Nadu,Transmission,TypeA,220 kV,6.835981316268837,18,Insulator,100.0,110.0,39,1.2421842336044029,1599.1,1643.17
2020-02-01,Tamil Nadu,Transmission,TypeB,220 kV,17.995473652855267,12,Cable,100.0,110.0,19,1.2796582926365545,1377.3,1474.1
2020-02-01,Uttar Pradesh,Transmission,TypeB,220 kV,22.129796823766444,5,Steel,100.0,110.0,13,1.1463404657559655,2506.9,2565.5
2020-02-01,Uttar Pradesh,Transmission,TypeA,400 kV,15.9123357863187,5,Cement,100.0,110.0,21,1.0544410551203098,2178.66,2251.82
2020-02-01,Uttar Pradesh,Transmission,TypeB,400 kV,12.545181664559518,5,Insulator,100.0,110.0,44,1.0346216859554906,2371.12,2392.23
2020-02-01,Uttar Pradesh,Transmission,TypeB,220 kV,18.934743307283014,5,Cable,100.0,110.0,20,1.2509888054108211,2374.59,2463.84
2020-03-01,Gujarat,Substation,TypeA,400 kV,16.370405674999166,18,Steel,100.0,110.0,44,1.0650470707645705,2149.8,2231.74
2020-03-01,Gujarat,Transmission,TypeA,400 kV,19.79817520894749,18,Cement,100.0,110.0,39,1.2610211626718266,1829.44,1864.65
2020-03-01,Gujarat,Transmission,TypeA,400 kV,6.069705934947378,5,Insulator,100.0,110.0,28,0.9365146707144535,1580.43,1638.53
2020-03-01,Gujarat,Transmission,TypeA,400 kV,17.04881851802238,18,Cable,100.0,110.0,30,1.200949811775072,2796.86,2843.61
2020-03-01,Maharashtra,Substation,TypeB,400 kV,24.918624840606583,12,Steel,100.0,110.0,14,1.1948142227164036,2508.96,2604.3
2020-03-01,Maharashtra,Transmission,TypeA,220 kV,6.682136122299949,5,Cement,100.0,110.0,18,1.2287440237161427,2893.52,2953.63
2020-03-01,Maharashtra,Transmission,TypeB,220 kV,22.262770439780077,12,Insulator,100.0,110.0,26,1.2788994309535435,2528.37,2560.41
2020-03-01,Maharashtra,Substation,TypeA,400 kV,13.689036889765427,5,Cable,100.0,110.0,22,1.062080834712567,2208.16,2252.83
2020-03-01,Assam,Transmission,TypeA,400 kV,19.920897585308467,5,Steel,100.0,110.0,37,1.284869019389817,2290.82,2304.68
2020-03-01,Assam,Substation,TypeA,220 kV,16.120100772851693,18,Cement,100.0,110.0,30,0.9173603133192691,2028.08,2056.98
2020-03-01,Assam,Transmission,TypeB,400 kV,15.461956883402976,5,Insulator,100.0,110.0,23,1.017797578735772,2332.27,2418.19
2020-03-01,Assam,Substation,TypeB,220 kV,17.402651956030734,12,Cable,100.0,110.0,37,1.1587393446674896,2639.57,2672.03
2020-03-01,Tamil Nadu,Transmission,TypeA,220 kV,24.72421488959206,12,Steel,100.0,110.0,26,1.0119054028675782,1537.19,1630.39
2020-03-01,Tamil Nadu,Substation,TypeB,400 kV,19.5143901677672,18,Cement,100.0,110.0,34,1.0672972145162476,1441.04,1453.73
2020-03-01,Tamil Nadu,Transmission,TypeB,400 kV,20.55204567470451,12,Insulator,100.0,110.0,41,1.2941144202662018,2980.51,3064.82
2020-03-01,Tamil Nadu,Transmission,TypeB,400 kV,13.296390046753304,5,Cable,100.0,110.0,30,0.9225501986603709,1407.72,1440.78
2020-03-01,Uttar Pradesh,Substation,TypeA,400 kV,16.70299064650944,5,Steel,100.0,110.0,19,1.2398589562709645,2734.14,2776.31
2020-03-01,Uttar Pradesh,Substation,TypeA,400 kV,20.139982643444576,12,Cement,100.0,110.0,37,1.007468992810123,1154.55,1164.57
2020-03-01,Uttar Pradesh,Transmission,TypeA,220 kV,22.0436300063708,12,Insulator,100.0,110.0,14,0.9353632893462587,927.83,988.17
2020-03-01,Uttar Pradesh,Substation,TypeB,400 kV,9.259283230178214,12,Cable,100.0,110.0,43,1.0402350235226387,1717.7,1801.26
2020-04-01,Gujarat,Transmission,TypeB,220 kV,15.94892613798223,5,Steel,100.0,110.0,33,1.2641885113613092,2236.45,2291.95
2020-04-01,Gujarat,Transmission,TypeB,400 kV,10.164887765979167,5,Cement,100.0,110.0,43,1.1483222737688366,2205.62,2208.53
2020-04-01,Gujarat,Transmission,TypeA,400 kV,7.5775944382129845,18,Insulator,100.0,110.0,25,0.9607610774049178,1371.65,1430.81
2020-04-01,Gujarat,Transmission,TypeA,400 kV,24.462206985402087,5,Cable,100.0,110.0,28,1.2287162547377797,1467.85,1494.36
2020-04-01,Maharashtra,Substation,TypeA,400 kV,14.215575360654515,12,Steel,100.0,110.0,43,0.9514993593198576,1355.3,1374.84
2020-04-01,Maharashtra,Substation,TypeB,400 kV,23.417448010636264,5,Cement,100.0,110.0,26,1.0107510592588815,1079.98,1100.97
2020-04-01,Maharashtra,Transmission,TypeA,400 kV,23.480835182148663,12,Insulator,100.0,110.0,35,1.2039821635750343,2496.54,2591.06
2020-04-01,Maharashtra,Transmission,TypeA,400 kV,15.233548842313322,18,Cable,100.0,110.0,27,1.0789649467293818,1107.38,1163.69
2020-04-01,Assam,Transmission,TypeB,220 kV,16.27930184037673,5,Steel,100.0,110.0,31,1.030998940871166,1740.75,1832.92
2020-04-01,Assam,Transmission,TypeB,220 kV,16.15484531900875,5,Cement,100.0,110.0,28,1.0515090503805158,2155.17,2227.21
2020-04-01,Assam,Transmission,TypeB,400 kV,24.730304975859593,5,Insulator,100.0,110.0,42,0.9030137452536299,1276.53,1311.11
2020-04-01,Assam,Substation,TypeA,220 kV,22.935308492528502,18,Cable,100.0,110.0,12,1.1098045558281018,1803.79,1822.32
2020-04-01,Tamil Nadu,Substation,TypeB,220 kV,23.347912261710633,18,Steel,100.0,110.0,15,1.290026865178057,1956.12,2051.0
2020-04-01,Tamil Nadu,Substation,TypeA,400 kV,20.389858663838737,12,Cement,100.0,110.0,35,1.0294716945616975,2155.93,2204.07
2020-04-01,Tamil Nadu,Transmission,TypeA,220 kV,20.355590028856774,12,Insulator,100.0,110.0,20,1.2728057369027737,1956.96,2029.0
2020-04-01,Tamil Nadu,Substation,TypeB,220 kV,11.447076899494459,12,Cable,100.0,110.0,29,1.0018562619055056,1461.09,1468.97
2020-04-01,Uttar Pradesh,Substation,TypeB,400 kV,20.88578899932925,18,Steel,100.0,110.0,14,1.2322477631150917,2338.82,2393.07
2020-04-01,Uttar Pradesh,Substation,TypeB,220 kV,20.630289635028298,18,Cement,100.0,110.0,23,1.2198148523678063,1456.11,1508.34
2020-04-01,Uttar Pradesh,Substation,TypeB,220 kV,12.17660968247005,5,Insulator,100.0,110.0,34,1.1731928253668529,2463.97,2558.28
2020-04-01,Uttar Pradesh,Transmission,TypeA,400 kV,9.644253902936345,5,Cable,100.0,110.0,11,1.1174211444455955,2464.09,2504.13
2020-05-01,Gujarat,Substation,TypeA,400 kV,19.61098273618603,12,Steel,100.0,110.0,24,1.2514516461493752,2598.69,2691.34
2020-05-01,Gujarat,Transmission,TypeA,400 kV,19.878925851453538,12,Cement,100.0,110.0,13,1.1279558739485267,1845.97,1895.16
2020-05-01,Gujarat,Substation,TypeA,400 kV,12.576431311138315,5,Insulator,100.0,110.0,33,1.141583148829005,2153.53,2282.9
2020-05-01,Gujarat,Transmission,TypeA,400 kV,18.878968889342,12,Cable,100.0,110.0,36,1.0382783974015677,1580.25,1634.81
2020-05-01,Maharashtra,Substation,TypeA,400 kV,10.758592329514522,18,Steel,100.0,110.0,21,1.2647409635371858,1416.14,1487.84
2020-05-01,Maharashtra,Transmission,TypeB,400 kV,19.14477268626797,12,Cement,100.0,110.0,37,1.0497741478881688,1745.47,1772.06
2020-05-01,Maharashtra,Transmission,TypeB,400 kV,14.016787428082642,12,Insulator,100.0,110.0,30,0.9662082041469159,938.17,998.64
2020-05-01,Maharashtra,Transmission,TypeA,400 kV,6.095232776440627,5,Cable,100.0,110.0,19,1.2211413794392048,1609.99,1650.26
2020-05-01,Assam,Transmission,TypeB,400 kV,23.459204635969698,18,Steel,100.0,110.0,27,1.0923347912356294,967.93,1021.97
2020-05-01,Assam,Transmission,TypeA,220 kV,13.378508990090959,5,Cement,100.0,110.0,38,1.1322353401112175,1045.46,1114.84
2020-05-01,Assam,Transmission,TypeA,220 kV,14.17977976034026,12,Insulator,100.0,110.0,31,0.9341398672314576,1601.67,1651.68
2020-05-01,Assam,Transmission,TypeB,400 kV,11.98773998098666,12,Cable,100.0,110.0,38,1.1499903948204209,1915.78,1969.73
2020-05-01,Tamil Nadu,Transmission,TypeB,400 kV,14.065776694960553,12,Steel,100.0,110.0,37,1.0924351793550344,1506.03,1595.82
2020-05-01,Tamil Nadu,Transmission,TypeB,220 kV,10.414893462871076,12,Cement,100.0,110.0,43,1.0634936684392386,1080.44,1129.99
2020-05-01,Tamil Nadu,Transmission,TypeB,400 kV,16.034451905186796,18,Insulator,100.0,110.0,33,0.9784452398773812,893.82,1008.1
2020-05-01,Tamil Nadu,Substation,TypeA,220 kV,6.988827855186903,12,Cable,100.0,110.0,41,1.2422785872425144,1649.54,1703.27
2020-05-01,Uttar Pradesh,Transmission,TypeB,400 kV,11.479801222135993,12,Steel,100.0,110.0,16,1.1532963099643843,2278.79,2346.01
2020-05-01,Uttar Pradesh,Substation,TypeB,400 kV,21.34887123476882,18,Cement,100.0,110.0,11,1.0452236848780363,1089.19,1150.86
2020-05-01,Uttar Pradesh,Substation,TypeB,400 kV,13.722530582706334,18,Insulator,100.0,110.0,31,1.2119035099152122,1121.23,1175.39
2020-05-01,Uttar Pradesh,Substation,TypeA,400 kV,10.373547187698922,12,Cable,100.0,110.0,34,1.0031550741732809,2187.57,2213.17
2020-06-01,Gujarat,Substation,TypeA,400 kV,18.824437152193088,5,Steel,100.0,110.0,20,1.2290335503646697,1188.75,1272.42
2020-06-01,Gujarat,Substation,TypeB,220 kV,9.128425435212064,12,Cement,100.0,110.0,31,0.954754252027523,1334.47,1387.64
2020-06-01,Gujarat,Substation,TypeA,400 kV,14.885477002765429,12,Insulator,100.0,110.0,26,1.0675082099568294,2006.94,2066.53
2020-06-01,Gujarat,Transmission,TypeA,220 kV,20.419718510709572,5,Cable,100.0,110.0,30,1.2348315962812118,1057.46,1048.22
2020-06-01,Maharashtra,Substation,TypeA,220 kV,14.521008043981993,18,Steel,100.0,110.0,33,1.2747318957299032,1688.55,1717.09
2020-06-01,Maharashtra,Transmission,TypeA,220 kV,24.10472625446958,18,Cement,100.0,110.0,43,1.1493330203619962,962.47,1029.98
